GENE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO	PWY	Module	Module-Name	Module-Completeness	Metabolism	Metabolism-name	KO-name	EC	MAG	Condition
metabat2.spades.15_9_69	49.11948008	-4.427863612	0.6887110107	-6.43	1.28e-10	1.04e-08	K01034	,aminoacids,carbohydrate	No Module	-	-	310,650	,Lysine  degradation  ,Butanoate  metabolism	atoD; acetate CoA/acetoacetate CoA-transferase alpha subunit	2.8.3.8,2.8.3.8	Caldanaerobacter_subterraneus_UNIPD13	AA
vamb.spades.267_12_7	8.978014224	-4.334326612	1.21963048	-3.55	0.0003797033394	0.008353473466	K07795	transporters	No Module	-	-			['tctC;', 'putative', 'tricarboxylic', 'transport', 'membrane', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
vamb.megahit.488_5_2	3.812605664	-4.209988481	1.322504804	-3.183344565	0.001455842545	0.3799749043	-		No Module	-	-					Tepidimicrobium_xylanilyticum_UNIPD19	AA
vamb.spades.267_73_31	2.889612933	-4.208597402	1.668851425	-2.521852658	0.01167385943	0.1117943714	K16784,K16786,K16787	transporters	No Module	-	-			bioM; biotin transport system ATP-binding protein	7.6.2.-	Tepidanaerobacteraceae_sp._UNIPD27	AA
maxbin2.spades.006_2_18	11.01543505	-4.172348532	1.435907904	-2.905721544	0.003664073608	0.2376302573	-		No Module	-	-					Moorellia_sp._UNIPD5	AA
metabat2.spades.15_9_64	216.517571	-4.149995128	0.5199197128	-7.98	1.44e-15	2.96e-13	K07456	geneticInformation	No Module	-	-	3400	DNA  repair  and  recombination  proteins  BR:ko03400\n	['mutS2;', 'DNA', 'mismatch', 'repair', 'protein', 'MutS2\n']	-	Caldanaerobacter_subterraneus_UNIPD13	AA
maxbin2.spades.006_4_78	21.96206222	-4.106775462	1.100628241	-3.731301189	0.000190493312	0.0399516428	-		No Module	-	-					Moorellia_sp._UNIPD5	AA
metabat2.spades.25_17_71	8.03849477	-4.100440187	1.203228172	-3.41	0.0006547307612	0.01938003053	K13963	protein_families	No Module	-	-	1003	Glycosyltransferases  BR:ko01003\n	['SERPINB;', 'serpin', 'B\n']	-	Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.25_4_79	8.63041762	-4.037021519	1.429864131	-2.82	0.004752314252	0.0781491677	K01897	,lipid,lipid	M00086	beta-Oxidation, acyl-CoA synthesis	100	,61,71	,Fatty  acid  biosynthesis  ,Fatty  acid  degradation	ACSL fadD; long-chain acyl-CoA synthetase	6.2.1.3	Symbiobacterium_sp._UNIPD15	AA
metabat2.megahit.33_14_71	298.3080305	-4.029072893	0.3486620578	-11.55581114	6.9e-31	1.39e-27	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
maxbin2.spades.001_1_275	1.622165115	-4.00358827	1.724799524	-2.32	0.02027656463	0.07621627619	-		No Module	-	-					Methanothermobacter_thermautotrophicus_UNIPD4	AA
metabat2.spades.25_21_22	11.89636181	-3.943116543	0.9116630344	-4.33	1.52e-05	0.002093028757	-		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.15_9_65	51.33008892	-3.92519166	0.6368665848	-6.16	7.13e-10	4.89e-08	-		No Module	-	-					Caldanaerobacter_subterraneus_UNIPD13	AA
vamb.spades.267_63_26	14.69665346	-3.904346351	0.9266207097	-4.213532365	2.51e-05	0.0007870989961	K05845,K05846	transporters	No Module	-	-			['opuC;', 'osmoprotectant', 'transport', 'system', 'substrate-binding', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
metabat2.spades.15_8_60	10.32656868	-3.865829035	0.9534146154	-4.05	5.02e-05	0.0007476331621	K03521	noPWY	No Module	-	-	99982	Energy  metabolism\n	['fixA,', 'etfB;', 'electron', 'transfer', 'flavoprotein', 'beta', 'subunit\n']	-	Caldanaerobacter_subterraneus_UNIPD13	AA
maxbin2.spades.006_1_202	6.830672389	-3.788917214	1.465334464	-2.585701291	0.00971811102	0.4396016103	K00341	energy	M00144	NADH:quinone oxidoreductase, prokaryotes	100	190	Oxidative  phosphorylation	nuoL; NADH-quinone oxidoreductase subunit L	7.1.1.2	Moorellia_sp._UNIPD5	AA
metabat2.spades.15_1_158	5.47852389	-3.764808057	1.240092413	-3.04	0.0024	0.01592179654	-		No Module	-	-					Caldanaerobacter_subterraneus_UNIPD13	AA
maxbin2.spades.006_6_19	14.29728382	-3.763166671	1.351807616	-2.78	0.00537	0.3098623075	K02111	,energy,energy	M00157	F-type ATPase, prokaryotes and chloroplasts	100	190,195	,Oxidative  phosphorylation  ,Photosynthesis	ATPF1A atpA; F-type H+/Na+-transporting ATPase subunit alpha	7.1.2.2,7.1.2.2	Moorellia_sp._UNIPD5	AA
maxbin2.spades.006_3_47	7.189596413	-3.734318106	1.469425567	-2.541345537	0.01104267268	0.4806687902	K13770	geneticInformation	No Module	-	-	3400	DNA  repair  and  recombination  proteins  BR:ko03400\n	['ysiA,', 'fadR;', 'TetR/AcrR', 'family', 'transcriptional', 'regulator,', 'fatty', 'acid', 'metabolism', 'regulator', 'protein\n']	-	Moorellia_sp._UNIPD5	AA
metabat2.spades.15_8_63	95.70121932	-3.685321651	0.5190678117	-7.099884769	1.25e-12	1.41e-10	K00626	,aminoacids,aminoacids,aminoacids,energy,carbohydrate,carbohydrate,carbohydrate,lipid	M00088,M00095,M00373,M00374,M00375,M00849	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone,C5 isoprenoid biosynthesis, mevalonate pathway,Ethylmalonyl pathway,Dicarboxylate-hydroxybutyrate cycle,Hydroxypropionate-hydroxybutylate cycle,C5 isoprenoid biosynthesis, mevalonate pathway, archaea	20.0,14.285714285714285,25.0,23.076923076923077,21.428571428571427,14.285714285714285	,280,310,380,720,620,630,650,71	,Valine   leucine  and  isoleucine  degradation  ,Lysine  degradation  ,Tryptophan  metabolism  ,Carbon  fixation  pathways  in  prokaryotes  ,Pyruvate  metabolism  ,Glyoxylate  and  dicarboxylate  metabolism  ,Butanoate  metabolism  ,Fatty  acid  degradation	ACAT atoB; acetyl-CoA C-acetyltransferase	2.3.1.9	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.15_9_62	87.75613006	-3.682603744	0.5441659116	-6.77	1.31e-11	1.19e-09	K18011	,aminoacids,aminoacids	No Module	-	-	310,470	,Lysine  degradation  ,D-Amino  acid  metabolism	kamE; beta-lysine 56-aminomutase beta subunit	5.4.3.3	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.megahit.33_44_13	8.114702961	-3.675958258	0.9349792633	-3.931593354	8.44e-05	0.00229663267	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
metabat2.megahit.33_40_9	1.921367616	-3.641361464	1.676497017	-2.172005931	0.02985521554	0.1665606762	K03300		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
metabat2.megahit.33_33_63	219.4591278	-3.606869327	0.4689170998	-7.69	1.45e-14	7.3e-12	K02986	genetic_information_processing	No Module	-	-	3010	Ribosome	['RP-S4,', 'rpsD;', 'small', 'subunit', 'ribosomal', 'protein', 'S4\n']	-	Tissierellaceae_sp._UNIPD12	AA
metabat2.megahit.33_69_42	13.1517847	-3.600515718	0.827087843	-4.353244639	1.34e-05	0.0004776701142	K09013	transporters	No Module	-	-			['sufC;', 'Fe-S', 'cluster', 'assembly', 'ATP-binding', 'protein\n']	-	Tissierellaceae_sp._UNIPD12	AA
metabat2.megahit.33_1_38	85.15939898	-3.568692283	0.4128719846	-8.643580616	5.45e-18	3.66e-15	K07035	noPWY	No Module	-	-	99997	Function  unknown\n	['K07035;', 'uncharacterized', 'protein\n']	-	Tissierellaceae_sp._UNIPD12	AA
maxbin2.spades.006_3_141	11.9725522	-3.563731569	1.244680216	-2.86	0.004194249145	0.2615171021	K02224	cofactors_and_vitamins	M00924,M00925	Cobalamin_biosynthesis_anaerobicc-diamide,Cobalamin_biosynthesis_aerobicc-diamide	100.0,72.72727272727273	860	Porphyrin  metabolism	cobB-cbiA; cobyrinic acid ac-diamide synthase	6.3.5.9,6.3.5.9	Moorellia_sp._UNIPD5	AA
metabat2.megahit.33_14_36	33.5175249	-3.552878724	0.9645289027	-3.68	0.00023	0.005090752565	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
metabat2.spades.25_8_9	30.4125324	-3.537958562	0.9170742068	-3.857875988	0.0001143766511	0.005924710527	K03671		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.15_8_62	82.27020318	-3.510197235	0.482218009	-7.28	3.36e-13	4e-11	K00074	,aminoacids,carbohydrate	M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	28.57142857	360,650	,Phenylalanine  metabolism  ,Butanoate  metabolism	paaH hbd fadB mmgB; 3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157	Caldanaerobacter_subterraneus_UNIPD13	AA
maxbin2.spades.006_4_95	12.19804675	-3.481889365	1.359307379	-2.561517299	0.01042160511	0.462358519	K00074	,aminoacids,carbohydrate	M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	28.57142857	360,650	,Phenylalanine  metabolism  ,Butanoate  metabolism	paaH hbd fadB mmgB; 3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157	Moorellia_sp._UNIPD5	AA
vamb.spades.267_18_21	6.870169851	-3.476164516	1.190549636	-2.92	0.0035	0.04751837205	K03531	,protein_familiies_signalling,cell_growth	No Module	-	-	20,484,112	,Prokaryotic  defense  system  BR:ko02048\n,Cell  cycle  -  Caulobacter	['ftsZ;', 'cell', 'division', 'protein', 'FtsZ\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
vamb.spades.267_43_10	12.67600933	-3.474796666	0.9965967591	-3.49	0.000489	0.01047677835	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
maxbin2.spades.001_1_6	1969.911965	-3.461527974	0.9385113705	-3.688317567	0.0002257417953	0.002814766661	-		No Module	-	-					Methanothermobacter_thermautotrophicus_UNIPD4	AA
maxbin2.megahit.017_45_2	15.63527802	-3.450690103	1.090382721	-3.164659562	0.001552645024	0.03835033209	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
metabat2.megahit.33_17_4	35.17244912	-3.428900108	0.6117252468	-5.605294413	2.08e-08	2.46e-06	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
vamb.spades.267_73_21	2.942067829	-3.413280455	1.588181453	-2.149175365	0.03162050129	0.2236663604	K03076		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
maxbin2.megahit.017_151_6	7.934849976	-3.40124396	1.074439098	-3.17	0.00155	0.03835033209	K01921	,aminoacids,glycan_biosynthesis	No Module	-	-	470,550	,D-Amino  acid  metabolism  ,Peptidoglycan  biosynthesis	ddl; D-alanine-D-alanine ligase	6.3.2.4	Tepidanaerobacteraceae_sp._UNIPD3	AA
metabat2.megahit.33_45_1	4.380411983	-3.381757858	1.427608167	-2.368827761	0.01784456142	0.1190031348	K07457,K10773	genetic_information_processing	No Module	-	-	99976	Replication  and  repair\n	['K07457;', 'endonuclease', 'III', 'related', 'protein\n']	-	Tissierellaceae_sp._UNIPD12	AA
metabat2.spades.25_23_23	9.495091343	-3.364568349	1.165014162	-2.888006395	0.003876919899	0.06545565433	K11065	noPWY	No Module	-	-	99980	Enzymes  with  EC  numbers\n	tpx; thioredoxin-dependent peroxiredoxin	1.11.1.24	Symbiobacterium_sp._UNIPD15	AA
metabat2.megahit.33_13_19	1.998324598	-3.358612599	1.773513406	-1.89	0.05825658476	0.2545092445	K10947	geneticInformation	No Module	-	-	3400	DNA  repair  and  recombination  proteins  BR:ko03400\n	['K10947;', 'PadR', 'family', 'transcriptional', 'regulator\n']	-	Tissierellaceae_sp._UNIPD12	AA
vamb.spades.222_5_113	8.392082598	-3.333982419	1.224001358	-2.72	0.00645	0.131333436	-		No Module	-	-					Tepidimicrobiaceae_sp._UNIPD26	AA
metabat2.spades.15_2_114	213.1099529	-3.317690716	1.11857873	-2.965987665	0.003017125903	0.01892701175	K00864	lipid	No Module	-	-	561	Glycerolipid  metabolism	glpK GK; glycerol kinase	2.7.1.30	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.15_12_1	220.1341358	-3.315503973	0.6514412279	-5.09	3.59e-07	1.38e-05	K21903	geneticInformation	No Module	-	-	3400	DNA  repair  and  recombination  proteins  BR:ko03400\n	['cadC,', 'smtB;', 'ArsR', 'family', 'transcriptional', 'regulator,', 'lead/cadmium/zinc/bismuth-responsive', 'transcriptional', 'repressor\n']	-	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.15_13_1	6.319413743	-3.308766596	1.090329494	-3.034648346	0.002408162922	0.01594175689	K02421		No Module	-	-					Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.25_7_7	14.12610529	-3.29839952	0.8368484617	-3.941453765	8.1e-05	0.005244053783	K01952	nucleotide	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	100	230	Purine  metabolism	PFAS purL; phosphoribosylformylglycinamidine synthase	6.3.5.3	Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.15_2_115	123.4602553	-3.280832726	1.113147147	-2.947348636	0.003205116217	0.01982618337	K02440	transporters	No Module	-	-			['glpF;', 'glycerol', 'uptake', 'facilitator\n']	-	Caldanaerobacter_subterraneus_UNIPD13	AA
vamb.spades.222_28_17	53.55609139	-3.269460298	1.757902286	-1.859864637	0.06290467959	0.4946595259	-		No Module	-	-					Tepidimicrobiaceae_sp._UNIPD26	AA
metabat2.megahit.33_76_7	67.32051515	-3.264878429	1.368410102	-2.385891792	0.01703776338	0.116318832	K11041		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
metabat2.spades.15_9_73	92.96987969	-3.26380078	0.471877162	-6.916632215	4.63e-12	4.55e-10	-		No Module	-	-					Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.25_1_72	16.06839469	-3.263261624	0.9225743539	-3.54	0.000405	0.01396896885	-		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
vamb.spades.267_78_17	4.549130607	-3.216933458	1.352440622	-2.378613454	0.01737788831	0.1521032375	K12960,K20810	aminoacids	No Module	-	-	270	Cysteine  and  methionine  metabolism	mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase	3.5.4.31,3.5.4.31	Tepidanaerobacteraceae_sp._UNIPD27	AA
metabat2.megahit.33_28_33	384.3359174	-3.182731674	0.6507015898	-4.891230826	1e-06	5.94e-05	K00161,K21416	,cofactors_and_vitamins,carbohydrate,carbohydrate,carbohydrate	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	100	,785,10,20,620	,Lipoic  acid  metabolism  ,Glycolysis  /  Gluconeogenesis  ,Citrate  cycle  (TCA  cycle)  ,Pyruvate  metabolism	PDHA pdhA; pyruvate dehydrogenase E1 component subunit alpha	1.2.4.1	Tissierellaceae_sp._UNIPD12	AA
metabat2.spades.15_8_58	17.744516	-3.159200036	0.684770159	-4.613518849	3.96e-06	0.0001007119645	K01715	carbohydrate	No Module	-	-	650	Butanoate  metabolism	crt; enoyl-CoA hydratase	4.2.1.17	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.megahit.33_30_35	4.474275983	-3.154029197	1.20401965	-2.619582826	0.008803739095	0.07418715706	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
metabat2.spades.25_20_41	86.98911803	-3.122481762	0.7241008359	-4.31	1.62e-05	0.002093028757	K07192		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.25_2_53	14.87938287	-3.109298311	1.114265008	-2.790447774	0.005263519123	0.0781788222	-		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
maxbin2.spades.006_14_8	25.32476475	-3.109230907	0.9356074892	-3.32	0.0008898423263	0.07617643955	-		No Module	-	-					Moorellia_sp._UNIPD5	AA
metabat2.spades.25_53_2	8.26390833	-3.102170426	1.008385295	-3.076374122	0.002095347551	0.04618680984	-		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
maxbin2.spades.006_3_146	156.744421	-3.083951197	0.5190341402	-5.94171165	2.82e-09	3.25e-06	K11181	energy	M00596	Dissimilatory sulfate reduction, sulfate => H2S	33.33333333	920	Sulfur  metabolism	dsrB; dissimilatory sulfite reductase beta subunit	1.8.1.22	Moorellia_sp._UNIPD5	AA
metabat2.spades.25_2_33	11.18879597	-3.083306357	0.8814853265	-3.5	0.000469	0.01518449159	K21701	geneticInformation	No Module	-	-	3400	DNA  repair  and  recombination  proteins  BR:ko03400\n	['btr;', 'AraC', 'family', 'transcriptional', 'regulator,', 'transcriptional', 'activator', 'for', 'feuABC-ybbA', 'operon\n']	-	Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.15_1_162	19.40025635	-3.082407591	0.7639550488	-4.03	5.46e-05	0.0008086518226	K03205		No Module	-	-					Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.25_6_67	21.98641365	-3.070952358	0.8374733548	-3.66692545	0.000245484326	0.0110574679	-		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.15_20_38	27.56578734	-3.069890651	0.6735845779	-4.557542959	5.18e-06	0.0001200278369	K09749	noPWY	No Module	-	-	99997	Function  unknown\n	['K09749;', 'uncharacterized', 'protein\n']	-	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.15_4_80	13.93770212	-3.064616347	0.7270154065	-4.22	2.49e-05	0.0004245482428	K19116	protein_familiies_signalling	No Module	-	-	2048	Prokaryotic  defense  system  BR:ko02048\n	['cas5h;', 'CRISPR-associated', 'protein', 'Cas5h\n']	-	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.25_1_108	16.13410878	-3.057689372	0.9731997173	-3.141892992	0.001678593718	0.0414053117	K03088		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
metabat2.megahit.33_14_39	8.535954355	-3.050657134	1.00769265	-3.027368645	0.002466929037	0.03124807931	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
maxbin2.spades.006_2_123	28.39304253	-3.043553579	1.11845197	-2.721219741	0.006504151029	0.3572637244	-		No Module	-	-					Moorellia_sp._UNIPD5	AA
vamb.spades.267_66_25	4.612355878	-3.041690964	1.452672551	-2.09	0.0363	0.2400477736	K02390,K02392		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
metabat2.spades.25_31_10	69.05755168	-3.037353164	0.6856001261	-4.430210918	9.41e-06	0.001625500701	K03088		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.15_1_163	8.10747629	-3.03383383	0.9276785038	-3.270350469	0.001074143141	0.008513903316	K07126	noPWY	No Module	-	-	99997	Function  unknown\n	['K07126;', 'uncharacterized', 'protein\n']	-	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.15_20_45	6.195043955	-3.02695597	0.9476203221	-3.194270849	0.001401845277	0.01061464116	-		No Module	-	-					Caldanaerobacter_subterraneus_UNIPD13	AA
maxbin2.spades.006_3_46	18.4175924	-3.003972336	0.9841720613	-3.052283695	0.002271073464	0.1587686813	K07516	,carbohydrate,lipid	M00087	beta-Oxidation	50	,650,71	,Butanoate  metabolism  ,Fatty  acid  degradation	fadN; 3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	Moorellia_sp._UNIPD5	AA
maxbin2.megahit.017_23_19	10.5905343	-2.997818698	1.23104781	-2.4351765	0.01488452736	0.1666748984	K19405	noPWY	No Module	-	-	99980	Enzymes  with  EC  numbers\n	mcsB; protein arginine kinase	2.7.14.1	Tepidanaerobacteraceae_sp._UNIPD3	AA
metabat2.spades.25_34_14	7.518626445	-2.997423417	1.066025845	-2.81	0.00493	0.0781788222	-		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.18_18_33	24.85979393	-2.991489747	0.8189037664	-3.653041871	0.000259151953	0.0772643037	K02082	carbohydrate	No Module	-	-	52	Galactose  metabolism	agaS; D-galactosamine 6-phosphate deaminase/isomerase	3.5.99.-	Limnochordia_sp._UNIPD14	AA
metabat2.spades.25_17_78	725.0558753	-2.98730797	0.607341269	-4.918664551	8.71e-07	0.0004513678406	K16937	energy	No Module	-	-	920	Sulfur  metabolism	doxD; thiosulfate dehydrogenase (quinone) large subunit	1.8.5.2	Symbiobacterium_sp._UNIPD15	AA
metabat2.megahit.33_28_34	222.5693633	-2.983674169	0.6829754009	-4.37	1.25e-05	0.0004776701142	K00162,K21417	,cofactors_and_vitamins,carbohydrate,carbohydrate,carbohydrate	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	100	,785,10,20,620	,Lipoic  acid  metabolism  ,Glycolysis  /  Gluconeogenesis  ,Citrate  cycle  (TCA  cycle)  ,Pyruvate  metabolism	PDHB pdhB; pyruvate dehydrogenase E1 component subunit beta	1.2.4.1	Tissierellaceae_sp._UNIPD12	AA
