	GENE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO	PWY	Module	Module-Name	Module-Completeness	Metabolism	Metabolism-name	KO-name	EC	MAG	Condition
10	maxbin2.megahit.017_141_9	31.321983069909	1.40501220470756	0.568071282313825	2.4733026443174	0.0133870721223075	0.166674898402003	K02031,K02032	transporters	No Module	-	-			['ddpD;', 'peptide/nickel', 'transport', 'system', 'ATP-binding', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD3	AA
11	maxbin2.megahit.017_151_2	12.9782744568177	2.68316314190894	1.1066678837066	2.42454234139527	0.0153276958178485	0.166674898402003	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
12	maxbin2.megahit.017_151_4	10.2159417905888	5.63340869273951	1.56125906348602	3.60824723102717	0.0003082726578037	0.0190358366193823	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
13	maxbin2.megahit.017_151_6	7.93484997571665	-3.40124395983574	1.07443909779209	-3.16559958291268	0.0015476367642249	0.0383503320859562	K01921	,aminoacids,glycan_biosynthesis	No Module	-	-	470550	,D-Amino  acid  metabolism  ,Peptidoglycan  biosynthesis	ddl; D-alanine-D-alanine ligase	6.3.2.4	Tepidanaerobacteraceae_sp._UNIPD3	AA
14	maxbin2.megahit.017_157_7	20.2377996271119	-2.00275345103098	0.618035535015436	-3.24051504737661	0.001193139748091	0.0383503320859562	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
15	maxbin2.megahit.017_23_19	10.5905343013404	-2.99781869800685	1.23104781034602	-2.43517649989907	0.0148845273649988	0.166674898402003	K19405	noPWY	No Module	-	-	99980	Enzymes  with  EC  numbers\n	mcsB; protein arginine kinase	2.7.14.1	Tepidanaerobacteraceae_sp._UNIPD3	AA
16	maxbin2.megahit.017_28_30	14.2830391936553	-1.46052713024002	0.773690752362502	-1.8877401930684	0.0590608376716027	0.426729275702478	K06284	geneticInformation	No Module	-	-	3400	DNA  repair  and  recombination  proteins  BR:ko03400\n	['abrB,', 'abh;', 'AbrB', 'family', 'transcriptional', 'regulator,', 'transcriptional', 'pleiotropic', 'regulator', 'of', 'transition', 'state', 'genes\n']	-	Tepidanaerobacteraceae_sp._UNIPD3	AA
17	maxbin2.megahit.017_30_102	15.6314543263859	1.56721318523662	0.731651446499895	2.14202157698713	0.0321917457761107	0.265045373556644	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
18	maxbin2.megahit.017_45_2	15.6352780163673	-3.4506901030017	1.09038272058946	-3.16465956204465	0.0015526450237229	0.0383503320859562	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
19	maxbin2.megahit.017_47_19	6.81102823545343	2.89935637896098	1.19136305888965	2.43364636609027	0.0149475907342947	0.166674898402003	K03615	noPWY	No Module	-	-	99980	Enzymes  with  EC  numbers\n	rnfC; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C	7.1.1.11,7.1.1.11	Tepidanaerobacteraceae_sp._UNIPD3	AA
20	maxbin2.megahit.017_47_35	6.14283904304507	2.60992891907773	1.07848122397296	2.4200040399991	0.0155203346690124	0.166674898402003	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
21	maxbin2.megahit.017_52_21	34.2972063744031	5.05790464521014	1.30781159127793	3.86745665732157	0.0001099763674277	0.0090547209182185	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
22	maxbin2.megahit.017_53_36	8.67964343705103	-2.95225527776726	1.03106676868206	-2.86330174479479	0.0041925109118975	0.0690366796825794	K00040	carbohydrate	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	100	40	Pentose  and  glucuronate  interconversions	uxuB; fructuronate reductase	1.1.1.57	Tepidanaerobacteraceae_sp._UNIPD3	AA
23	maxbin2.megahit.017_55_24	33.4470263684584	1.88888807658433	0.859418128411389	2.19786855098796	0.0279584745988994	0.245399444312415	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
24	maxbin2.megahit.017_58_17	6.59163703500496	3.76203542886877	1.27167730627351	2.95832552040497	0.0030931529384066	0.0545720554133165	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
25	maxbin2.megahit.017_58_18	19.4366771515368	2.49704195966416	0.778135136546664	3.20900810461527	0.0013319373757707	0.0383503320859562	K01938	,cofactors_and_vitamins,energy	M00140,M00377,M00618	C1-unit interconversion, prokaryotes,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Acetogen	100.0,85.71428571428571,88.88888888888889	670720	,One  carbon  pool  by  folate  ,Carbon  fixation  pathways  in  prokaryotes	fhs; formate--tetrahydrofolate ligase	6.3.4.3	Tepidanaerobacteraceae_sp._UNIPD3	AA
26	maxbin2.megahit.017_58_19	10.1383172984907	3.29017147362585	1.07539714912233	3.05949432385148	0.0022171098894586	0.0497841947905706	K07321	signalling	No Module	-	-	99978	Cell  growth\n	['cooC;', 'CO', 'dehydrogenase', 'maturation', 'factor\n']	-	Tepidanaerobacteraceae_sp._UNIPD3	AA
27	maxbin2.megahit.017_58_2	5.81554727571616	2.18783600095492	1.00081783175044	2.18604818134422	0.0288120805063159	0.245399444312415	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
28	maxbin2.megahit.017_58_20	19.6600604148207	1.92874504790207	0.77820849202816	2.47844256090729	0.0131957355850476	0.166674898402003	K00198	,energy,energy	M00377,M00618	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Acetogen	85.71428571428571,88.88888888888889	720680	,Carbon  fixation  pathways  in  prokaryotes  ,Methane  metabolism	cooS acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit	1.2.7.4	Tepidanaerobacteraceae_sp._UNIPD3	AA
29	maxbin2.megahit.017_58_7	27.3618981236616	2.42239762395592	0.536530394549291	4.51493083815101	6.33374329002159e-06	0.0007822172963176	K14138	energy	M00377,M00618	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Acetogen	85.71428571428571,88.88888888888889	720	Carbon  fixation  pathways  in  prokaryotes	acsB; acetyl-CoA synthase	2.3.1.169	Tepidanaerobacteraceae_sp._UNIPD3	AA
30	maxbin2.megahit.017_58_8	9.74474755495402	2.43380105358941	0.810093796971888	3.00434475944254	0.0026615354450087	0.0505691734551665	K15023	energy	M00377,M00618	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Acetogen	85.71428571428571,88.88888888888889	720	Carbon  fixation  pathways  in  prokaryotes	acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase	2.1.1.258	Tepidanaerobacteraceae_sp._UNIPD3	AA
31	maxbin2.megahit.017_58_9	12.9104397074366	4.38432902535736	0.950040116275703	4.61488830865856	3.93306772640636e-06	0.0007822172963176	K00197	,energy,energy	M00357,M00377,M00422,M00617,M00618	Methanogenesis, acetate => methane,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Acetyl-CoA pathway, CO2 => acetyl-CoA,Methanogen,Acetogen	33.33333333333333,85.71428571428571,0.0,33.33333333333333,88.88888888888889	720680	,Carbon  fixation  pathways  in  prokaryotes  ,Methane  metabolism	cdhE acsC; acetyl-CoA decarbonylase/synthase CODH/ACS complex subunit gamma	2.1.1.245	Tepidanaerobacteraceae_sp._UNIPD3	AA
32	maxbin2.megahit.017_65_10	8.02462973372945	3.31816385618549	1.68464539583761	1.9696512182231	0.0488783573301628	0.365847098804552	K03475	,transporters,carbohydrate	M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	0	-,53	,-,Ascorbate  and  aldarate  metabolism	['ulaA,', 'sgaT;', 'ascorbate', 'PTS', 'system', 'EIIC', 'component\n']	-	Tepidanaerobacteraceae_sp._UNIPD3	AA
33	maxbin2.megahit.017_66_30	11.652614701946	2.29137350156081	0.894713427125037	2.5610138756089	0.0104367187726436	0.151639384520175	K01924	glycan_biosynthesis	No Module	-	-	550	Peptidoglycan  biosynthesis	murC; UDP-N-acetylmuramate--alanine ligase	6.3.2.8	Tepidanaerobacteraceae_sp._UNIPD3	AA
34	maxbin2.megahit.017_81_3	5.69948696959106	3.46062591469202	1.69952756994325	2.03622817063661	0.0417274487379416	0.322083744945987	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
35	maxbin2.megahit.017_99_3	8.27203294395841	-2.87190733283137	1.58074422735418	-1.81680709828579	0.069246655559154	0.475108997864196	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
36	maxbin2.megahit.017_9_41	25.8740627122566	3.24275676140579	0.976514152040546	3.32074732826929	0.0008977677420265	0.0383503320859562	K06387	signalling	No Module	-	-	99978	Cell  growth\n	['spoIIR;', 'stage', 'II', 'sporulation', 'protein', 'R\n']	-	Tepidanaerobacteraceae_sp._UNIPD3	AA
37	vamb.spades.267_10_14	32.5255617626827	3.51314723827016	0.782979311019822	4.48689663804056	7.22681126572802e-06	0.0002451093487626	K00001	,cofactors_and_vitamins,aminoacids,carbohydrate,carbohydrate,lipid	No Module	-	-	,830,350,10,620,71	,Retinol  metabolism  ,Tyrosine  metabolism  ,Glycolysis  /  Gluconeogenesis  ,Pyruvate  metabolism  ,Fatty  acid  degradation	E1.1.1.1 adh; alcohol dehydrogenase	1.1.1.1	Tepidanaerobacteraceae_sp._UNIPD27	AA
38	vamb.spades.267_12_10	12.96056888162	-2.32346731385857	0.851797114147563	-2.72772386201823	0.0063772968968435	0.0735037840090202	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
39	vamb.spades.267_12_12	5.18608330666668	-1.73442059226464	1.07175959795069	-1.61829256820375	0.105599561553433	0.419307527338997	K10914,K21563	geneticInformation	No Module	-	-	3400	DNA  repair  and  recombination  proteins  BR:ko03400\n	['crp;', 'CRP/FNR', 'family', 'transcriptional', 'regulator,', 'cyclic', 'AMP', 'receptor', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
40	vamb.spades.267_12_13	14.5032798785582	-1.13014004753194	0.697755731305818	-1.61967863082534	0.105301328884035	0.419307527338997	K02314	cell_growth	No Module	-	-	4112	Cell  cycle  -  Caulobacter	dnaB; replicative DNA helicase	5.6.2.3	Tepidanaerobacteraceae_sp._UNIPD27	AA
41	vamb.spades.267_12_24	3.24157800491657	3.97484284040576	1.69552835681323	2.34430926762943	0.0190623575624738	0.165071904849507	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
42	vamb.spades.267_12_7	8.97801422412938	-4.33432661183842	1.21963047967142	-3.5538031265061	0.0003797033393526	0.0083534734657584	K07795	transporters	No Module	-	-			['tctC;', 'putative', 'tricarboxylic', 'transport', 'membrane', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
43	vamb.spades.267_12_9	3.2416008951226	-2.96114716668626	1.522009668384	-1.94555082546241	0.0517087188354994	0.300649265229261	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
44	vamb.spades.267_14_6	4.19616075537875	-2.89394500386285	1.37322759104045	-2.10740377104585	0.0350825950134238	0.234960501156446	K03787	,cofactors_and_vitamins,nucleotide,nucleotide	No Module	-	-	760230240	,Nicotinate  and  nicotinamide  metabolism  ,Purine  metabolism  ,Pyrimidine  metabolism	"surE; ""5/3-nucleotidase"" "	3.1.3.5,3.1.3.5	Tepidanaerobacteraceae_sp._UNIPD27	AA
45	vamb.spades.267_15_1	11.719095064669	-1.69783773186598	0.771965554339088	-2.19936980649295	0.0278516377492542	0.209848125871663	K06973	noPWY	No Module	-	-	99997	Function  unknown\n	['K06973;', 'uncharacterized', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
46	vamb.spades.267_15_32	14.5986257829065	3.59055888929555	0.903120467865511	3.97572529585305	7.01650819101484e-05	0.0018423992475761	K06436	signalling	No Module	-	-	99978	Cell  growth\n	['yabG;', 'spore', 'coat', 'assemly', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
47	vamb.spades.267_15_38	33.2381306982565	2.16132189930869	0.706421854330265	3.05953430809097	0.0022168139557814	0.0375934700001262	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
48	vamb.spades.267_15_53	13.7331563009186	1.51282196966244	0.793851214579337	1.90567444110303	0.0566924573415858	0.316079864904458	K02798,K02799,K02800	,transporters,carbohydrate	No Module	-	-	-,51	,-,Fructose  and  mannose  metabolism	cmtB; mannitol PTS system EIIA component	2.7.1.197	Tepidanaerobacteraceae_sp._UNIPD27	AA
49	vamb.spades.267_15_56	3.15776623436249	3.22915510165649	1.50473959073066	2.1459893270227	0.0318738302237435	0.223666360363166	K00009	carbohydrate	No Module	-	-	51	Fructose  and  mannose  metabolism	mtlD; mannitol-1-phosphate 5-dehydrogenase	1.1.1.17	Tepidanaerobacteraceae_sp._UNIPD27	AA
50	vamb.spades.267_15_58	16.1289274499022	2.97023110391394	0.99369667167626	2.98907220742067	0.0027982599306277	0.043803530452519	K03671		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
51	vamb.spades.267_16_13	4.19487529637454	-2.04223429485779	1.24015731263824	-1.64675422548874	0.0996085735001684	0.413303581306936	K17758,K17759	noPWY	No Module	-	-	99980	Enzymes  with  EC  numbers\n	nnrD; ADP-dependent NAD(P)H-hydrate dehydratase	4.2.1.136	Tepidanaerobacteraceae_sp._UNIPD27	AA
52	vamb.spades.267_16_15	50.2008365130244	1.36182181973932	0.70532588466793	1.93076966171527	0.0535115437393447	0.302488865304351	K13993		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
53	vamb.spades.267_16_17	5.17444450904388	2.31316687014573	1.33407271592409	1.73391363344346	0.0829334084835186	0.373799973627744	K21071	,energy,carbohydrate,carbohydrate,carbohydrate,carbohydrate	No Module	-	-	,680,10,30,51,52	,Methane  metabolism  ,Glycolysis  /  Gluconeogenesis  ,Pentose  phosphate  pathway  ,Fructose  and  mannose  metabolism  ,Galactose  metabolism	pfk pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase	2.7.1.11,2.7.1.11	Tepidanaerobacteraceae_sp._UNIPD27	AA
54	vamb.spades.267_16_23	91.5671230978395	3.28545231514252	0.672080706505059	4.88847884389877	1.0161811565598e-06	5.50872974599641e-05	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
55	vamb.spades.267_17_10	4.73520533553336	4.75539080684212	1.638893150401	2.90158684577977	0.0037127785081245	0.0495442902559577	K06897	cofactors_and_vitamins	No Module	-	-	790	Folate  biosynthesis	"K06897; 78-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene ""5-phosphate"" synthase "	2.5.1.105	Tepidanaerobacteraceae_sp._UNIPD27	AA
56	vamb.spades.267_17_14	4.02261017386972	5.72509883962527	1.69557587422879	3.37649227418339	0.0007341643384703	0.0145758480857292	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
57	vamb.spades.267_17_16	8.16082395660625	4.07574046729876	1.27428013157945	3.19846505198739	0.0013816127799228	0.0242892791956692	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
58	vamb.spades.267_17_6	3.66921895522634	2.52530225258169	1.31899950680172	1.91455890586721	0.0555487800969258	0.311839358613087	K00537	noPWY	No Module	-	-	99980	Enzymes  with  EC  numbers\n	arsC; arsenate reductase (glutaredoxin)	1.20.4.1	Tepidanaerobacteraceae_sp._UNIPD27	AA
59	vamb.spades.267_18_18	10.7374306056481	1.7150853513625	0.862342564637678	1.98886779070579	0.046715797774678	0.281678958433984	K03091		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
60	vamb.spades.267_18_19	10.3324723976536	1.51048925900177	0.953141328560821	1.58474846671743	0.11302349520859	0.442313101441308	K03091		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
61	vamb.spades.267_18_2	3.97946975907405	-2.05589648214516	1.24655793575308	-1.64925866915534	0.0990946531101305	0.413303581306936	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
62	vamb.spades.267_18_21	6.8701698509408	-3.47616451649463	1.19054963553666	-2.91979806026962	0.0035025827066268	0.0475183720532375	K03531	,protein_familiies_signalling,cell_growth	No Module	-	-	20484112	,Prokaryotic  defense  system  BR:ko02048\n,Cell  cycle  -  Caulobacter	['ftsZ;', 'cell', 'division', 'protein', 'FtsZ\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
63	vamb.spades.267_18_26	13.4607361779363	1.72302684458488	0.844504307676659	2.04028188953251	0.0413222575567511	0.260426283230426	K00790	,glycan_biosynthesis,carbohydrate	No Module	-	-	550520	,Peptidoglycan  biosynthesis  ,Amino  sugar  and  nucleotide  sugar  metabolism	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7	Tepidanaerobacteraceae_sp._UNIPD27	AA
64	vamb.spades.267_18_27	12.8274992324356	2.49938786030293	0.899814824547332	2.77766912937925	0.005475033821126	0.0675260789358726	K01924	glycan_biosynthesis	No Module	-	-	550	Peptidoglycan  biosynthesis	murC; UDP-N-acetylmuramate--alanine ligase	6.3.2.8	Tepidanaerobacteraceae_sp._UNIPD27	AA
65	vamb.spades.267_18_30	5.74229774435607	1.86392709181981	1.18485575490662	1.5731257447171	0.11568970479837	0.444204809933363	K01925	,aminoacids,glycan_biosynthesis	No Module	-	-	470550	,D-Amino  acid  metabolism  ,Peptidoglycan  biosynthesis	murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase	6.3.2.9	Tepidanaerobacteraceae_sp._UNIPD27	AA
66	vamb.spades.267_18_33	5.21848779836519	-1.9694819804461	1.13170314404955	-1.74028144288682	0.0818096108977065	0.372028062964989	K01928	,aminoacids,glycan_biosynthesis	No Module	-	-	300550	,Lysine  biosynthesis  ,Peptidoglycan  biosynthesis	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--26-diaminopimelate ligase	6.3.2.13	Tepidanaerobacteraceae_sp._UNIPD27	AA
67	vamb.spades.267_18_36	6.32715281249497	-2.03845907124079	1.02097106808976	-1.99658847831482	0.0458699054929999	0.280737617077458	K03438		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
68	vamb.spades.267_18_44	28.4339919740284	1.95055893756605	0.661163055373956	2.95019348360717	0.003175749829134	0.047001097471184	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
69	vamb.spades.267_18_6	14.0326561717083	1.77843687320042	1.00725047555485	1.76563517849993	0.0774570741964077	0.368086299097884	K06398	signalling	No Module	-	-	99978	Cell  growth\n	['spoIVA;', 'stage', 'IV', 'sporulation', 'protein', 'A\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
70	vamb.spades.267_19_28	3.58227756355494	3.71129137171949	1.65381700925155	2.24407618917831	0.0248274996803519	0.199600689727279	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
71	vamb.spades.267_19_29	5.72650495812202	3.60576877467249	1.50441646838548	2.39678895468497	0.0165394469040109	0.147946261317196	K01582,K01585	aminoacids	No Module	-	-	310	Lysine  degradation	E4.1.1.18 ldcC cadA; lysine decarboxylase	4.1.1.18	Tepidanaerobacteraceae_sp._UNIPD27	AA
72	vamb.spades.267_19_31	4.60082831077174	4.37629509492284	1.53506171083092	2.85089196352502	0.004359677967547	0.0556887283691175	K06387	signalling	No Module	-	-	99978	Cell  growth\n	['spoIIR;', 'stage', 'II', 'sporulation', 'protein', 'R\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
73	vamb.spades.267_20_7	17.9181635256999	1.75794754586727	0.831761534389493	2.11352349583897	0.0345559861547785	0.234960501156446	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
74	vamb.spades.267_21_10	12.6320014798129	1.66207002913445	0.773425223331069	2.14897313792802	0.0316365293714595	0.223666360363166	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
75	vamb.spades.267_21_11	3.54131079612306	2.03006247369252	1.30111217246811	1.56025169593306	0.118700413444599	0.45118842898317	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
76	vamb.spades.267_21_13	14.9828279567126	3.10129095170363	0.835457595038207	3.71208660992759	0.0002055576188331	0.0047806829065757	K22278	noPWY	No Module	-	-	99980	Enzymes  with  EC  numbers\n	pgdA; peptidoglycan-N-acetylglucosamine deacetylase	3.5.1.104	Tepidanaerobacteraceae_sp._UNIPD27	AA
77	vamb.spades.267_21_17	13.0523501062782	2.11379503891453	1.03380935407987	2.04466619553456	0.0408877785158096	0.260020716498977	K16788	transporters	No Module	-	-			['niaX;', 'niacin', 'transporter\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
78	vamb.spades.267_21_18	22.6423060265598	1.36602423674334	0.720239770667843	1.89662428037915	0.057877543690951	0.31832649030023	K03183	cofactors_and_vitamins	M00116,M00117	Menaquinone biosynthesis, chorismate => menaquinol,Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	22.22222222222222,11.11111111111111	130	Ubiquinone  and  other  terpenoid-quinone  biosynthesis	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-14-benzoquinol methylase	2.1.1.163,2.1.1.163	Tepidanaerobacteraceae_sp._UNIPD27	AA
79	vamb.spades.267_21_2	14.3255136335644	-1.35091101956101	0.763847562740097	-1.76856101329299	0.076967161755801	0.368086299097884	K03296		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
80	vamb.spades.267_21_4	17.6361274865139	2.89631489317225	0.897440050916923	3.22730737302515	0.0012496114614463	0.0231178120367583	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
81	vamb.spades.267_21_6	13.4153797229406	-2.60228793419621	0.887835044323133	-2.93104890467592	0.0033781959524217	0.0472877962946729	K00575,K03408,K13924		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
82	vamb.spades.267_24_1	6.53677177917437	2.15136014217947	1.07963909239411	1.99266602824543	0.0462980297066465	0.281243255083658	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
83	vamb.spades.267_24_10	3.58794859942903	2.35557571435197	1.37936379347638	1.70772621805251	0.0876871549787407	0.387920348655951	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
84	vamb.spades.267_24_11	15.686292825383	2.43420859205713	0.944099628239626	2.57833868295867	0.0099276641448701	0.0997668964682011	K02073	transporters	No Module	-	-			['metQ;', 'D-methionine', 'transport', 'system', 'substrate-binding', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
85	vamb.spades.267_24_12	8.42107661635099	6.49486967239266	2.51001209286986	2.58758501237603	0.0096651342843134	0.0983427413428897	K02072	transporters	No Module	-	-			['metI;', 'D-methionine', 'transport', 'system', 'permease', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
86	vamb.spades.267_24_13	25.0142465318276	7.16269726131889	1.4210953947491	5.04026491661631	4.64887866657882e-07	2.91091325738089e-05	K02071	transporters	No Module	-	-			['metN;', 'D-methionine', 'transport', 'system', 'ATP-binding', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
87	vamb.spades.267_24_14	7.31255425941703	3.54362188040242	1.22875416848249	2.88391443243588	0.0039276545965366	0.0515663038964647	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
88	vamb.spades.267_24_15	6.19920270718872	1.86336391259324	1.13731284521502	1.6383916882966	0.101340011901196	0.413303581306936	K03702	geneticInformation	No Module	-	-	3400	DNA  repair  and  recombination  proteins  BR:ko03400\n	['uvrB;', 'excinuclease', 'ABC', 'subunit', 'B\n']	-	Tepidanaerobacteraceae_sp._UNIPD27	AA
89	vamb.spades.267_24_22	5.55578998587358	3.29526465056443	1.26031882785764	2.61462780506572	0.0089324734728671	0.0932183770117158	K05601	energy	No Module	-	-	910	Nitrogen  metabolism	hcp; hydroxylamine reductase	1.7.99.1	Tepidanaerobacteraceae_sp._UNIPD27	AA
90	vamb.spades.267_24_7	4.5496093386237	-2.13701287393783	1.18416561806174	-1.80465708625768	0.0711283590306393	0.355205424852395	K21471	protein_families	No Module	-	-	1003	Glycosyltransferases  BR:ko01003\n	cwlO; peptidoglycan DL-endopeptidase CwlO	3.4.-.-	Tepidanaerobacteraceae_sp._UNIPD27	AA
91	vamb.spades.267_25_10	4.13501240793101	2.72118585314384	1.4317392543982	1.90061552394023	0.0573523906426948	0.317583986279956	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
92	vamb.spades.267_25_7	9.68024335083196	4.91017080710911	1.28198537521761	3.83013012630946	0.0001280755126448	0.0031591959785718	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
