99973 Transcription
K02466 gutM; glucitol operon activator protein
K02952 RP-S13, rpsM; small subunit ribosomal protein S13
K02954 RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14
K02956 RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15
K02959 RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16
K02961 RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17
K02963 RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18
K02965 RP-S19, rpsS; small subunit ribosomal protein S19
K02968 RP-S20, rpsT; small subunit ribosomal protein S20
K02970 RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21
K02981 RP-S2e, RPS2; small subunit ribosomal protein S2e
K02985 RP-S3e, RPS3; small subunit ribosomal protein S3e
K02984 RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae
K02987 RP-S4e, RPS4; small subunit ribosomal protein S4e
K02989 RP-S5e, RPS5; small subunit ribosomal protein S5e
K02991 RP-S6e, RPS6; small subunit ribosomal protein S6e
K02993 RP-S7e, RPS7; small subunit ribosomal protein S7e
K02995 RP-S8e, RPS8; small subunit ribosomal protein S8e
K02997 RP-S9e, RPS9; small subunit ribosomal protein S9e
K02947 RP-S10e, RPS10; small subunit ribosomal protein S10e
K02949 RP-S11e, RPS11; small subunit ribosomal protein S11e
K02951 RP-S12e, RPS12; small subunit ribosomal protein S12e
K02953 RP-S13e, RPS13; small subunit ribosomal protein S13e
K02955 RP-S14e, RPS14; small subunit ribosomal protein S14e
K02958 RP-S15e, RPS15; small subunit ribosomal protein S15e
K02957 RP-S15Ae, RPS15A; small subunit ribosomal protein S15Ae
K02960 RP-S16e, RPS16; small subunit ribosomal protein S16e
K02962 RP-S17e, RPS17; small subunit ribosomal protein S17e
K02964 RP-S18e, RPS18; small subunit ribosomal protein S18e
K02966 RP-S19e, RPS19; small subunit ribosomal protein S19e
K02969 RP-S20e, RPS20; small subunit ribosomal protein S20e
K02971 RP-S21e, RPS21; small subunit ribosomal protein S21e
K02973 RP-S23e, RPS23; small subunit ribosomal protein S23e
K02974 RP-S24e, RPS24; small subunit ribosomal protein S24e
K02975 RP-S25e, RPS25; small subunit ribosomal protein S25e
K02976 RP-S26e, RPS26; small subunit ribosomal protein S26e
K02978 RP-S27e, RPS27; small subunit ribosomal protein S27e
K02977 RP-S27Ae, RPS27A, UBA80; ubiquitin-small subunit ribosomal protein S27Ae
K02979 RP-S28e, RPS28; small subunit ribosomal protein S28e
K02980 RP-S29e, RPS29; small subunit ribosomal protein S29e
K02983 RP-S30e, RPS30; small subunit ribosomal protein S30e
K02998 RP-SAe, RPSA; small subunit ribosomal protein SAe
K02863 RP-L1, MRPL1, rplA; large subunit ribosomal protein L1
K02886 RP-L2, MRPL2, rplB; large subunit ribosomal protein L2
K02906 RP-L3, MRPL3, rplC; large subunit ribosomal protein L3
K02926 RP-L4, MRPL4, rplD; large subunit ribosomal protein L4
K02931 RP-L5, MRPL5, rplE; large subunit ribosomal protein L5
K02933 RP-L6, MRPL6, rplF; large subunit ribosomal protein L6
K02935 RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12
K02939 RP-L9, MRPL9, rplI; large subunit ribosomal protein L9
K02864 RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10
K02867 RP-L11, MRPL11, rplK; large subunit ribosomal protein L11
K02869 RP-L12, rpl12; large subunit ribosomal protein L12
K02871 RP-L13, MRPL13, rplM; large subunit ribosomal protein L13
K02874 RP-L14, MRPL14, rplN; large subunit ribosomal protein L14
K02876 RP-L15, MRPL15, rplO; large subunit ribosomal protein L15
K02878 RP-L16, MRPL16, rplP; large subunit ribosomal protein L16
K02879 RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17
K02881 RP-L18, MRPL18, rplR; large subunit ribosomal protein L18
K02884 RP-L19, MRPL19, rplS; large subunit ribosomal protein L19
K02887 RP-L20, MRPL20, rplT; large subunit ribosomal protein L20
K02888 RP-L21, MRPL21, rplU; large subunit ribosomal protein L21
K02890 RP-L22, MRPL22, rplV; large subunit ribosomal protein L22
K02892 RP-L23, MRPL23, rplW; large subunit ribosomal protein L23
K02895 RP-L24, MRPL24, rplX; large subunit ribosomal protein L24
K02897 RP-L25, rplY; large subunit ribosomal protein L25
K02899 RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27
K02902 RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28
K02904 RP-L29, rpmC; large subunit ribosomal protein L29
K02907 RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30
K02909 RP-L31, rpmE; large subunit ribosomal protein L31
K02911 RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32
K02913 RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33
K02914 RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34
K02916 RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35
K02919 RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36
K07590 RP-L7A, rplGB; large subunit ribosomal protein L7A
K02925 RP-L3e, RPL3; large subunit ribosomal protein L3e
K02930 RP-L4e, RPL4; large subunit ribosomal protein L4e
K02932 RP-L5e, RPL5; large subunit ribosomal protein L5e
K02934 RP-L6e, RPL6; large subunit ribosomal protein L6e
K02937 RP-L7e, RPL7; large subunit ribosomal protein L7e
K02936 RP-L7Ae, RPL7A; large subunit ribosomal protein L7Ae
K02938 RP-L8e, RPL8; large subunit ribosomal protein L8e
K02940 RP-L9e, RPL9; large subunit ribosomal protein L9e
K02866 RP-L10e, RPL10; large subunit ribosomal protein L10e
K02865 RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae
K02868 RP-L11e, RPL11; large subunit ribosomal protein L11e
K02870 RP-L12e, RPL12; large subunit ribosomal protein L12e
K02873 RP-L13e, RPL13; large subunit ribosomal protein L13e
K02872 RP-L13Ae, RPL13A; large subunit ribosomal protein L13Ae
K02875 RP-L14e, RPL14; large subunit ribosomal protein L14e
K02877 RP-L15e, RPL15; large subunit ribosomal protein L15e
K02880 RP-L17e, RPL17; large subunit ribosomal protein L17e
K02883 RP-L18e, RPL18; large subunit ribosomal protein L18e
K02882 RP-L18Ae, RPL18A; large subunit ribosomal protein L18Ae
K02885 RP-L19e, RPL19; large subunit ribosomal protein L19e
K02889 RP-L21e, RPL21; large subunit ribosomal protein L21e
K02891 RP-L22e, RPL22; large subunit ribosomal protein L22e
K02894 RP-L23e, RPL23; large subunit ribosomal protein L23e
K02893 RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae
K02896 RP-L24e, RPL24; large subunit ribosomal protein L24e
K02898 RP-L26e, RPL26; large subunit ribosomal protein L26e
K02901 RP-L27e, RPL27; large subunit ribosomal protein L27e
K02900 RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae
K02903 RP-L28e, RPL28; large subunit ribosomal protein L28e
K02905 RP-L29e, RPL29; large subunit ribosomal protein L29e
K02908 RP-L30e, RPL30; large subunit ribosomal protein L30e
K02910 RP-L31e, RPL31; large subunit ribosomal protein L31e
K02912 RP-L32e, RPL32; large subunit ribosomal protein L32e
K02915 RP-L34e, RPL34; large subunit ribosomal protein L34e
K02918 RP-L35e, RPL35; large subunit ribosomal protein L35e
K02917 RP-L35Ae, RPL35A; large subunit ribosomal protein L35Ae
K02920 RP-L36e, RPL36; large subunit ribosomal protein L36e
K02922 RP-L37e, RPL37; large subunit ribosomal protein L37e
K02921 RP-L37Ae, RPL37A; large subunit ribosomal protein L37Ae
K02923 RP-L38e, RPL38; large subunit ribosomal protein L38e
K02924 RP-L39e, RPL39; large subunit ribosomal protein L39e
K02927 RP-L40e, RPL40, UBA52; ubiquitin-large subunit ribosomal protein L40e
K02928 RP-L41e, RPL41; large subunit ribosomal protein L41e
K02929 RP-L44e, RPL44; large subunit ribosomal protein L44e
K02941 RP-LP0, RPLP0; large subunit ribosomal protein LP0
K02942 RP-LP1, RPLP1; large subunit ribosomal protein LP1
K02943 RP-LP2, RPLP2; large subunit ribosomal protein LP2
K02944 RP-LX, rplX; large subunit ribosomal protein LX
K01977 16SrRNA, rrs; 16S ribosomal RNA
K01980 23SrRNA, rrl; 23S ribosomal RNA
K01985 5SrRNA, rrf; 5S ribosomal RNA
K01979 SSUrRNA; small subunit 18S ribosomal RNA
K01982 LSUrRNA; large subunit 28S/25S ribosomal RNA
K01981 LSU5S; large subunit 5S ribosomal RNA
K01986 LSU5.8S; large subunit 5.8S ribosomal RNA
99976 Replication and repair
K07443 ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein
K07445 K07445; putative DNA methylase
K07449 K07449; similar to archaeal holliday junction resolvase and Mrr protein
K07450 K07450; putative resolvase
K01146 xni; protein Xni
K07453 K07453; putative restriction endonuclease
K07454 K07454; putative restriction endonuclease
K06993 K06993; ribonuclease H-related protein
K03630 radC; DNA repair protein RadC
K09760 rmuC; DNA recombination protein RmuC
K07457 K07457; endonuclease III related protein
K07459 ybjD; putative ATP-dependent endonuclease of the OLD family
K07460 yraN; putative endonuclease
K07461 K07461; putative endonuclease
K07463 K07463; archaea-specific RecJ-like exonuclease
K07465 K07465; putative RecB family exonuclease
K04096 smf; DNA processing protein
K02086 dnaD; DNA replication protein
K07467 nicK; putative DNA relaxase
K07357 fimB; type 1 fimbriae regulatory protein FimB
K07358 fimE; type 1 fimbriae regulatory protein FimE
K07470 sbmC; DNA gyrase inhibitor
K07472 TIP49; TBP-interacting protein
K07474 xtmA; phage terminase small subunit
K06909 xtmB; phage terminase large subunit
K07476 yusF; toprim domain protein
K07477 K07477; translin
K07478 ycaJ; putative ATPase
K07479 yrdD; putative DNA topoisomerase
K10762 ydaV; putative replication protein
K14060 pinR; putative DNA-invertase from lambdoid prophage Rac
K06919 K06919; putative DNA primase/helicase
K16782 NEURL2; neuralized-like protein 2
K07505 repA; regulatory protein RepA
K07500 K07500; DNA endonuclease
K07501 K07501; 3'-5' exonuclease
K07480 insB; insertion element IS1 protein InsB
K07481 K07481; transposase, IS5 family
K18320 IS15, IS26; transposase, IS6 family
K07482 K07482; transposase, IS30 family
K07483 K07483; transposase
K07484 K07484; transposase
K07485 K07485; transposase
K07486 K07486; transposase
K07487 K07487; transposase
K07488 K07488; transposase
K07489 K07489; transposase
K07491 rayT; REP-associated tyrosine transposase
K07492 K07492; putative transposase
K07493 K07493; putative transposase
K07494 K07494; putative transposase
K07495 K07495; putative transposase
K07496 K07496; putative transposase
K07497 K07497; putative transposase
K07498 K07498; putative transposase
K07499 K07499; putative transposase
K01152 isftu1; isftu1 transposase
K14059 int; integrase
K24551 BCAS4; breast carcinoma-amplified sequence 4
